x,y,p
50.8785,-2.7449486,0.0
49.070057,16.150326,0.0
22.222675,43.018066,
-35.151485,31.370882,0.0
25.423225,12.207427,0.0
9.6004095,-48.419758,0.0
-29.742834,-9.737319,0.0
-25.225124,18.80076,0.0
48.042927,-29.339605,0.0
8.723203,25.732193,
7.1402035,22.568134,0.0
15.735945,30.435883,0.0
-25.987236,5.8419356,
6.0044966,-7.7240453,0.0
-38.00308,30.700367,0.0
56.88606,22.922636,0.0
12.900894,-9.919864,0.0
11.743496,-15.343423,0.0
2.204033,15.584945,0.0
-35.565865,12.457253,0.0
14.416256,-47.554848,0.0
24.217543,7.971492,0.0
-6.6015067,37.24323,0.0
8.762029,-2.2952073,0.0
-12.555242,-19.569519,
-49.468273,23.480663,0.0
-8.9091015,34.70545,0.0
-10.943156,-45.838146,0.0
22.444086,-17.969578,0.0
24.160103,32.53371,0.0
-41.59933,-31.328444,0.0
26.944574,17.304369,0.0
22.494904,-10.928643,0.0
51.87366,-1.7755593,0.0
20.749866,6.422798,0.0
-9.442183,-4.4669275,0.0
-6.8229218,13.168655,0.0
-9.921717,36.153576,0.0
14.98921,-7.181909,0.0
27.104204,-30.712946,
-15.6459255,4.412332,0.0
-2.3255517,33.714832,0.0
-14.594854,-32.761654,0.0
-1.5697254,5.2702885,0.0
15.748814,30.406406,0.0
42.557808,46.819138,0.0
-10.9888735,31.297434,0.0
2.3079288,25.982544,0.0
-45.37044,-22.604015,0.0
-28.134474,-42.487476,0.0
-29.553373,1.5353898,0.0
3.2002475,-19.264038,0.0
14.448822,-15.87593,0.0
-7.041032,7.132145,0.0
-18.644884,30.021748,0.0
-10.231764,8.067515,0.0
9.210802,18.10268,0.0
-50.191475,-0.92849886,0.0
12.543768,-12.938497,0.0
-7.899715,-12.627537,0.0
3.2363837,16.876146,
-21.230585,-3.36641,0.0
-27.031319,-8.59282,0.0
-23.171583,55.36925,0.0
25.2511,-2.1003659,0.0
12.446183,-12.003798,0.0
-23.874567,-41.331635,0.0
-13.367911,46.06629,0.0
43.497864,32.23058,
28.0976,16.290813,0.0
11.126838,-24.395683,0.0
0.5758185,43.70578,0.0
-24.720404,26.011978,0.0
63.491173,-1.7739615,0.0
22.47385,-13.92954,0.0
-4.4386005,-11.997209,0.0
17.204329,-11.142561,0.0
-34.110462,46.419285,0.0
-28.511267,20.704456,0.0
-41.5962,-17.52573,
27.032755,-14.812939,0.0
11.5215645,-42.763805,
-23.921022,7.8189797,0.0
12.989057,-25.134138,0.0
-47.967884,25.055025,0.0
-48.994198,-26.49592,0.0
-18.035192,-33.295246,
-49.928905,-23.925936,
32.801,48.08744,0.0
-36.408325,-24.82948,0.0
57.706516,23.407782,0.0
38.50772,-37.53855,0.0
-19.73655,52.344242,0.0
52.43038,-8.411631,0.0
66.06974,17.944967,0.0
-1.8231689,42.695007,0.0
6.901737,-24.093548,0.0
56.558598,34.882725,0.0
-51.171635,20.398102,0.0
26.966736,-13.458703,0.0
21.722267,-44.946228,0.0
7.037658,49.87489,0.0
-22.04277,24.268679,0.0
17.544243,-5.8640003,0.0
42.94435,45.75814,0.0
12.080271,-3.3543303,0.0
-39.09655,19.915821,0.0
-37.0485,31.277643,0.0
6.73281,-16.933262,0.0
-39.6654,-31.137247,0.0
-39.151134,-33.013214,0.0
-27.757929,-31.484964,0.0
15.494631,15.959838,0.0
-5.572742,-15.364786,0.0
-2.9349666,-41.754124,0.0
-13.465729,10.705782,0.0
3.3954203,4.211268,0.0
44.422184,-23.581968,0.0
6.5867906,36.60733,0.0
-23.763693,-42.679688,0.0
21.850142,-30.212372,0.0
