x,y,p
-13.747843,-53.771866,
-30.576218,31.745302,
-35.261723,7.2149854,
-2.5895467,5.968769,
2.2898903,-11.086949,
-6.1020875,11.667596,0.0
16.312454,-5.7939034,
-11.866325,-27.730682,
-15.082513,-17.112808,
-12.557483,16.519464,
-0.18407808,8.580723,
-50.8931,-0.9812146,
15.685729,-51.181366,
7.0630116,12.348199,
-18.381931,-43.89723,
-15.216189,-27.087288,
-15.002631,8.751192,
-14.688223,44.645645,
-9.712268,-50.92147,
-2.687852,-63.842396,
-30.70086,31.693514,
-39.142494,19.52086,
2.487299,-2.1473958,
2.2301342,-1.0904982,
-31.079105,30.39304,
-21.04432,7.471892,
16.745785,9.256524,
9.28048,-32.54643,
-12.000527,-22.229424,
-13.704548,-65.9664,
31.595924,2.2311087,
-25.264128,-47.478844,
-4.511183,-36.585342,0.0
-12.876781,-42.569878,
-39.89099,10.518838,
38.058258,5.8994284,
34.084805,-47.29555,
0.11881438,52.965126,
-10.883794,-55.65757,
-12.857482,58.551956,
-4.9574723,-0.37255037,
5.7683463,-45.169384,
-1.3636155,-2.2219481,
11.032904,-7.2369337,
-32.074417,56.400494,
-8.90639,1.1737974,
-2.2069566,6.7981205,
1.5592616,-55.291462,
43.97531,-8.256982,
32.134323,1.4852666,
16.845005,14.1289,
4.983675,-10.687352,
26.463913,-20.781183,
-12.406626,5.02826,
-18.627108,12.7566395,
21.284988,42.00232,
-21.136786,13.350832,
-3.92298,9.384192,
-18.754858,60.221066,
-5.9567475,-50.9019,
-7.670323,32.84935,
-8.920609,50.640713,
-11.277124,-29.522608,
-28.672363,1.3874743,
28.315462,27.089815,
-0.4256145,-56.679035,
31.386463,10.295885,
-14.084898,-14.783208,
7.646631,33.326115,
-8.888759,52.484158,
-13.164827,-35.254494,
4.379916,-32.611355,0.0
14.520691,-36.35026,
21.021055,-7.686191,
-11.794632,59.30844,
-2.4145873,4.988387,
-25.222845,7.619164,
-9.5825205,46.918858,
14.120607,9.041377,0.0
-59.415764,-7.1611233,
-43.23905,18.934631,
-54.273563,13.214078,0.0
25.36422,-30.858099,
1.2387992,66.8842,
1.1455917,62.258602,
1.7107584,8.589003,
-9.824241,-57.026016,
-19.25328,-16.882015,
8.659653,23.184635,
-12.281267,-20.598118,
-10.45947,-44.87418,
-4.723494,-44.392426,
12.377809,6.43695,
-13.571929,62.106197,0.0
6.5460258,23.930454,
7.2819414,7.6257606,
-5.3250494,58.03442,
-8.264814,-24.761667,
-6.902688,-42.848347,
3.4721572,-5.8216786,
-4.881857,1.8945671,
-10.314833,-31.240835,
36.82373,7.185585,
-7.1651707,73.577354,
21.550156,-33.234818,
5.03014,-22.121958,
21.554762,-41.537735,
17.742378,10.495645,
-15.184853,-9.892687,0.0
-2.5587645,7.4562697,
46.246468,1.9790226,
-19.713335,-29.873234,
-8.00094,-28.519611,
-17.965672,47.608257,
9.043048,-32.24394,
-16.155167,-0.16764472,
22.341825,-6.971656,
-8.913298,-34.167637,
35.07751,40.392006,
13.273749,-2.9698308,
2.9254804,-0.8553389,
-16.293835,-23.310701,
-35.896072,12.856495,
-0.46944925,54.7439,
-11.17305,37.36332,
44.052208,-8.606584,
-15.910851,-40.79059,
30.41979,-2.2705362,
-5.8133473,5.812818,
7.9647574,-23.56576,0.0
-12.621188,-3.5744882,
-13.867908,-44.12652,
-0.565255,-32.731483,
-5.745142,-32.159515,
22.941599,39.45711,
-6.8483915,10.342256,
35.556446,29.581667,
-38.810085,7.8758655,0.0
-42.75385,-22.134527,
7.339309,-10.487784,
46.378994,33.618904,
20.314436,10.278387,
-8.081516,-17.799414,
9.292113,8.213377,
1.9341347,8.392936,
18.805399,5.481707,
-10.974274,62.40263,
32.14255,-30.9303,
25.902819,-2.22298,0.0
-42.136436,-9.932712,
-34.2437,8.4656725,0.0
7.6953335,-30.723724,
2.231884,24.669628,
-31.509453,-31.872843,
21.857851,-2.9535553,
1.3799635,64.66272,0.0
31.933477,-18.289192,0.0
-6.5344057,-47.92742,
12.120278,5.1591153,
-8.210342,70.93653,
-0.053431477,-0.63179123,
-18.64904,-50.283924,
-6.394688,-0.6734785,
-20.915272,-19.6795,
21.73164,38.090393,
-37.352028,-24.558655,
-1.4772773,-54.086567,
-14.660114,44.614414,
-13.394872,-9.217391,
-5.5434566,4.8060255,
-6.043847,1.4934394,
-12.770577,-24.27512,
8.650855,-5.773532,
-39.07796,-40.50663,
47.603817,20.716013,
-13.17415,12.588181,
-4.803033,-60.8942,
-54.34154,12.921833,
-38.604523,5.0579906,
20.352484,40.9227,
6.2120867,2.3443265,
-20.407717,-30.874123,
28.09834,-22.368797,
58.118404,22.221603,
27.856209,-9.405115,
0.8697149,15.50856,
-18.398884,-15.9013,
-0.15834035,-12.629733,
6.0190187,14.864187,
-5.982669,-41.785896,
-11.618922,-49.171684,
46.61436,19.308767,
7.652863,21.630665,
-0.9396899,64.969154,
51.68222,-10.691114,
18.648697,-25.125813,
-12.406167,-2.8157594,
16.13878,-6.738759,
4.4636607,-17.326283,
15.447953,1.8381696,
-0.34119332,-20.284307,
-5.1357822,-59.052383,
28.518293,7.8974032,
-4.9773116,1.9180852,
-13.056156,-55.081875,
-0.33400023,-49.987514,
-6.2017274,-50.504467,
-11.381314,3.4542909,
27.859129,13.846545,
15.185757,12.079002,
3.1194596,64.13862,
-28.80848,-40.536213,
8.162665,8.801664,
9.356082,-67.05974,
37.885155,0.73221815,
27.406477,8.888135,
-9.644835,-3.2511356,
10.014666,37.498905,
-15.988012,32.647934,
24.174244,2.8951635,
-9.719201,54.081135,
-42.003063,-9.885006,
-14.203276,41.026768,
-4.7140317,9.156969,
-16.56366,15.658263,
24.146303,36.73818,
-10.202777,-12.684911,
28.713722,9.93498,
-0.73093766,15.725311,
-8.854375,-35.113064,
12.272854,-38.35737,
8.239451,-14.446186,0.0
-1.00673,-47.47461,0.0
17.437634,10.364028,0.0
45.395386,11.943148,
-13.04807,59.001484,
