f_name,mean
Toilet_use,0.06168318237170058
Grooming,0.09247121916892424
Mobility,0.046772235740959664
Stairs,0.05826794480074944
Dressing,0.05030773443566515
Bowel_control,0.013055701666945344
Bladder_control,0.01537323474531345
discharged_mrs,0.05970419438201639
cortical_ACA_ctr,0.00010302222969091851
cortical_MCA_ctr,0.0006551504636251338
subcortical_ACA_ctr,0.00015217860052932315
subcortical_MCA_ctr,0.001495480942745768
PCA_cortex_ctr,0.00033894222571048005
thalamus_ctr,0.0003908332483991344
brainstem_ctr,0.0004927241979315682
cerebellum_ctr,0.00048627156112341903
Watershed_ctr,0.00017986775799558812
Hemorrhagic_infarct_ctr,6.95929206674225e-05
Old_stroke_ctci,0.001223051129691836
cortical_ACA_ctl,0.00011886064863547187
cortical_MCA_ctl,0.0006863357641008314
